Date,Open,High,Low,Close,Adj Close,Volume
2016-10-21,123.389999,123.389999,122.650002,123.150002,120.191551,9900
2016-10-24,124.000000,124.830002,124.000000,124.830002,121.831177,27800
2016-10-25,124.739998,124.739998,124.080002,124.260002,121.274879,19500
2016-10-26,123.489998,124.260002,123.279999,123.580002,120.611206,31200
2016-10-27,124.230003,124.230003,122.940002,122.980003,120.025627,21300
2016-10-28,122.839996,123.959999,122.470001,122.660004,119.713318,31100
2016-10-31,122.949997,123.220001,122.849998,122.870003,119.918274,47900
2016-11-01,123.089996,123.089996,120.959999,121.900002,118.971573,57000
2016-11-02,121.769997,122.190002,120.750000,120.830002,117.927284,20800
2016-11-03,120.550003,120.739998,119.820000,119.940002,117.058670,17900
2016-11-04,119.879997,120.550003,119.500000,119.570000,116.697540,29900
2016-11-07,121.260002,122.519997,121.260002,122.519997,119.576668,31300
2016-11-08,122.500000,123.500000,122.160004,123.050003,120.093941,16000
2016-11-09,121.040001,122.860001,120.000000,122.760002,119.810913,62000
2016-11-10,123.330002,123.540001,119.260002,120.760002,117.858955,464300
2016-11-11,120.529999,121.589996,120.529999,121.379997,118.464066,33500
2016-11-14,121.949997,121.949997,119.000000,119.680000,116.804909,430700
2016-11-15,120.419998,121.680000,120.419998,121.339996,118.425011,71700
2016-11-16,120.940002,122.330002,120.940002,122.330002,119.391235,58800
2016-11-17,122.290001,123.239998,122.290001,123.239998,120.279396,11500
2016-11-18,123.459999,123.830002,122.989998,123.110001,120.152512,228700
2016-11-21,123.540001,124.489998,123.360001,124.489998,121.499336,113700
2016-11-22,124.830002,124.879997,124.430000,124.629997,121.636002,46900
2016-11-23,124.379997,124.379997,123.730003,124.080002,121.099197,21100
2016-11-25,124.190002,124.540001,124.190002,124.440002,121.450546,25700
2016-11-28,124.379997,124.809998,124.099998,124.180000,121.196793,59800
2016-11-29,124.199997,124.910004,123.970001,124.290001,121.304169,27600
2016-11-30,124.500000,124.550003,122.919998,122.919998,119.967087,27300
2016-12-01,122.900002,122.900002,119.779999,120.050003,117.166008,95800
2016-12-02,119.750000,120.709999,119.599998,120.459999,117.566170,69700
2016-12-05,121.099998,122.050003,120.860001,122.029999,119.098442,20100
2016-12-06,122.290001,122.500000,121.790001,122.430000,119.488823,29100
2016-12-07,122.309998,124.559998,122.300003,124.470001,121.479828,23100
2016-12-08,124.580002,125.430000,124.580002,124.980003,121.977600,33600
2016-12-09,125.410004,125.610001,125.190002,125.550003,122.533890,16500
2016-12-12,125.279999,125.379997,124.510002,124.949997,121.948303,19500
2016-12-13,125.330002,126.980003,125.330002,126.379997,123.343941,305500
2016-12-14,126.500000,126.959999,125.769997,126.000000,122.973076,21600
2016-12-15,126.120003,126.980003,126.120003,126.300003,123.265884,32800
2016-12-16,126.830002,126.830002,125.269997,125.339996,122.328926,37900
2016-12-19,125.540001,126.480003,125.410004,125.949997,122.924278,29500
2016-12-20,126.449997,126.760002,126.099998,126.559998,123.519630,24800
2016-12-21,126.239998,126.339996,125.790001,126.089996,123.334740,27100
2016-12-22,126.110001,126.110001,125.220001,125.430000,122.689186,15900
2016-12-23,125.300003,125.570000,125.239998,125.480003,122.738091,29500
2016-12-27,125.769997,126.690002,125.769997,126.279999,123.520607,20300
2016-12-28,126.500000,126.500000,125.050003,125.050003,122.317482,30200
2016-12-29,125.099998,125.449997,124.709999,125.070000,122.337021,13000
2016-12-30,125.309998,125.309998,123.550003,123.809998,121.104561,20400
2017-01-03,124.510002,125.320000,124.180000,124.709999,121.984901,22800
2017-01-04,125.110001,125.760002,125.110001,125.669998,122.923927,10800
2017-01-05,125.540001,126.290001,125.540001,126.070000,123.315193,102500
2017-01-06,126.129997,127.459999,126.129997,127.199997,124.420471,19200
2017-01-09,127.260002,127.709999,127.260002,127.389999,124.606339,17500
2017-01-10,127.320000,127.779999,127.099998,127.339996,124.557442,37800
2017-01-11,127.400002,128.089996,127.169998,128.050003,125.251930,23000
2017-01-12,127.739998,127.930000,126.510002,127.919998,125.124771,8800
2017-01-13,128.050003,128.639999,128.050003,128.479996,125.672539,54000
2017-01-17,128.160004,128.160004,127.349998,127.629997,124.841087,22700
2017-01-18,127.959999,128.190002,127.629997,128.000000,125.203011,21200
2017-01-19,128.169998,128.539993,127.709999,127.849998,125.056305,33800
2017-01-20,128.479996,128.699997,128.190002,128.389999,125.584488,34000
2017-01-23,128.229996,128.669998,127.820000,128.520004,125.711678,14300
2017-01-24,128.839996,130.190002,128.839996,129.990005,127.149567,15500
2017-01-25,130.919998,131.419998,130.880005,131.419998,128.548264,33700
2017-01-26,131.520004,131.589996,130.720001,131.110001,128.245071,24900
2017-01-27,131.500000,131.630005,131.160004,131.300003,128.430878,27800
2017-01-30,130.910004,131.210007,129.619995,130.460007,127.609276,30900
2017-01-31,129.880005,130.119995,129.070007,129.750000,126.914749,21900
2017-02-01,130.729996,130.729996,129.759995,130.449997,127.599464,20700
2017-02-02,130.179993,130.839996,129.750000,130.619995,127.765739,18200
2017-02-03,130.779999,131.339996,130.779999,131.240005,128.372177,18300
2017-02-06,131.100006,131.369995,130.880005,131.369995,128.499374,29300
2017-02-07,131.649994,132.110001,131.419998,131.800003,128.919998,23200
2017-02-08,131.910004,132.309998,131.399994,132.169998,129.281906,14700
2017-02-09,132.339996,133.070007,131.869995,132.750000,129.849213,24300
2017-02-10,133.139999,133.289993,132.649994,133.110001,130.201355,14900
2017-02-13,133.600006,134.110001,133.600006,133.850006,130.925217,14800
2017-02-14,133.750000,134.190002,133.500000,134.089996,131.159958,12900
2017-02-15,134.229996,134.889999,134.089996,134.789993,131.844635,14200
2017-02-16,134.919998,135.320007,134.690002,134.990005,132.040283,20600
2017-02-17,134.779999,135.240005,134.770004,135.240005,132.284851,11900
2017-02-21,135.699997,136.210007,135.699997,136.210007,133.233612,33400
2017-02-22,136.039993,136.419998,135.789993,136.339996,133.360764,25000
2017-02-23,136.529999,136.529999,135.380005,136.009995,133.037979,15200
2017-02-24,135.080002,136.179993,135.080002,136.179993,133.204285,18600
2017-02-27,136.119995,136.270004,135.729996,136.199997,133.223816,51100
2017-02-28,136.210007,136.210007,135.320007,135.429993,132.470642,188000
2017-03-01,136.029999,137.460007,136.029999,137.270004,134.270462,102300
2017-03-02,137.240005,137.479996,136.190002,136.279999,133.302078,50800
2017-03-03,136.210007,136.500000,136.000000,136.460007,133.478165,49100
2017-03-06,136.000000,136.470001,135.649994,136.339996,133.360764,15700
2017-03-07,135.990005,136.850006,135.990005,136.279999,133.302078,12100
2017-03-08,136.380005,136.940002,136.380005,136.490005,133.507492,14200
2017-03-09,136.570007,136.720001,135.970001,136.529999,133.546631,9900
2017-03-10,137.149994,137.429993,136.759995,137.100006,134.104156,10500
2017-03-13,137.199997,137.509995,137.149994,137.419998,134.417175,23000
2017-03-14,137.250000,137.250000,136.470001,137.080002,134.084610,7200
2017-03-15,137.350006,138.160004,136.929993,137.979996,134.964935,18900
2017-03-16,138.410004,138.970001,137.990005,138.179993,135.160568,18000
2017-03-17,138.509995,138.720001,138.250000,138.339996,135.317078,28300
2017-03-20,138.410004,138.750000,138.169998,138.369995,135.346390,11800
2017-03-21,138.940002,138.940002,136.119995,136.149994,133.174942,21000
2017-03-22,136.039993,137.179993,136.039993,137.139999,134.143326,21900
2017-03-23,136.830002,137.220001,136.389999,136.759995,133.771561,25300
2017-03-24,137.139999,137.509995,136.250000,136.690002,133.915604,18200
2017-03-27,135.789993,137.070007,135.279999,136.880005,134.101761,18200
2017-03-28,136.919998,138.130005,136.679993,137.850006,135.052048,27700
2017-03-29,137.779999,138.320007,137.470001,138.220001,135.414566,41400
2017-03-30,138.250000,138.740005,138.160004,138.429993,135.620316,19300
2017-03-31,138.369995,138.809998,138.130005,138.460007,135.649704,24700
2017-04-03,138.539993,138.789993,137.259995,138.059998,135.257782,35600
2017-04-04,137.550003,138.149994,137.550003,138.100006,135.297043,35000
2017-04-05,138.419998,139.360001,137.570007,137.610001,134.816925,41100
2017-04-06,137.830002,137.899994,137.339996,137.550003,134.758179,7200
2017-04-07,137.750000,137.899994,137.289993,137.690002,134.895325,17000
2017-04-10,137.729996,138.190002,137.399994,137.529999,134.738556,9900
